english,japanese,difficulty_level
anyway,とにかく,2
following,～に続いて,2
refer,参照する,2
available,入手できる,2
department,部門,2
conference,会議,2
according to,～によると,2
likely,おそらく,2
offer,申し出る,2
equipment,機器,2
provide,提供する,2
local,地元の,2
purchase,購入する,2
opening,空き,2
construction,建設,2
tour,見学する,2
research,調査,2
attend,出席する,2
delivery,配達,2
recently,最近,2
indicate,示す,2
employee,従業員,2
additional,追加の,2
survey,アンケート調査,2
review,論評する,2
production,生産,2
located,位置して,2
detail,詳細,2
announce,発表する,2
repair,修理,2
increase,増加,2
include,含む,2
currently,現在,2
advertising,広告,2
charge,請求する,2
expect,予定する,2
firm,会社,2
client,顧客,2
financial,お金の,2
annual,年間の,2
payment,支払,2
budget,予算,2
application,応募書類,2
contract,契約,2
management,経営,2
performance,業績,2
pleased,満足して,2
confirm,確認する,2
award,賞,2
clothing,衣類,2
display,展示する,2
candidate,候補者,2
state,述べる,2
exhibit,展示物,2
session,時間,2
note,注意する,2
process,処理する,2
instruction,説明書,2
membership,会員,2
agency,代理店,2
based,拠点のある,2
facility,施設,2
advance,事前の,2
committee,委員会,2
successful,成功した,2
excellent,素晴らしい,2
industry,業界,2
fee,料金,2
accept,受け入れる,2
upcoming,今度の,2
latest,最新の,2
submit,提出する,2
transportation,輸送手段,2
r?sum?,履歴書,2
executive,重役,2
introduce,導入する,2
previous,以前の,2
proposal,提案,2
supply,必需品,2
enclose,同封する,2
policy,規定,2
register,登録する,2
arrange,手配する,2
bill,請求書,2
hire,雇う,2
approve,承認する,2
conduct,実施する,2
opportunity,機会,2
deadline,締め切り,2
corporate,企業の,2
warranty,保証,2
necessary,必要な,2
reserve,予約する,2
resident,住民,2
create,作り出す,2
inform,知らせる,2
allow,可能にする,2
mention,述べる,2
appreciate,感謝する,2
replacement,交換品,2
update,最新情報,2
branch,支店,2
paid,有給の,2
unfortunately,残念なことに,2
original,元の,2
rent,家賃,2
memo,社内文書,2
luggage,旅行かばん,2
editor,編集者,2
exhibition,展示会,2
leading,首位の,2
organization,組織,2
release,発売する,2
limited,限られた,2
procedure,手続き,2
experienced,経験豊富な,2
personnel,社員,2
author,著者,2
benefit,福利厚生,2
focus,～に集中させる,2
participate,参加する,2
cause,原因,2
degree,学位,2
directly,直接,2
host,司会者,2
expert,専門家,2
impress,感心させる,2
mainly,主に,2
suggestion,提案,2
supplier,納入業者,2
document,書類,2
remind,再確認する,2
require,求める,2
representative,担当者,2
packaging,梱包,2
description,説明,2
property,不動産,2
extension,内線,2
inquire,問い合わせる,2
merchandise,商品,2
highly,非常に,2
result,結果,2
assistance,支援,2
encourage,奨励する,2
individual,個人,2
laboratory,研究所,2
consider,考える,2
headquarters,本社,2
ship,出荷する,2
commercial,商業の,2
device,機器,2
intended,向けられた,2
brochure,パンフレット,2
mail,郵便配達,2
prefer,～を（・・・よりも）好む,2
response,返事,2
region,地域,2
donation,寄付,2
quarter,四半期,2
agreement,契約,2
journal,専門誌,2
distribute,配布する,2
potential,見込みがある,2
reschedule,スケジュール変更する,2
renew,更新する,2
warehouse,倉庫,2
refund,返金,2
advise,勧める,2
immediately,即座に,2
council,議会,2
broadcast,放送する,2
responsible,担当している,2
